Task	Type	MeanS1ensitivity	MedianS1ensitivity	SES1ensitivity
1	CoLA	GLUE	2.1314122787536	2.03605444002662	0.0221404741299775
2	CR	Text Cl.	1.9788612495866	1.71959249155141	0.0490317878396999
3	Gym248	Syntax	2.29317325947697	2.34797176177904	0.0855460023447894
4	Gym260	Syntax	2.02722420496684	1.88637297998738	0.0866520826723237
5	Heads	Parsing	2.85219000907498	2.59888893367725	0.199844187017107
6	Labels	Parsing	1.05953871614539	0.996472013736446	0.108564030685945
7	MNLI	GLUE	2.9508567259	2.77816495405845	0.0670935642725126
8	MPQA	Text Cl.	1.13627450848869	0.944987714287436	0.020401964928807
9	MR	Text Cl.	2.06482596323185	1.79268430591546	0.038840900663588
10	MRPC	GLUE	3.72046420598888	3.53895603842107	0.312347895757318
11	QNLI	GLUE	3.12820558800149	2.81026415161349	0.282833241399102
12	QQP	GLUE	1.93141466796969	1.66712425064588	0.183821031476973
13	RTE	GLUE	3.3798757071031	3.70723073606771	0.292863908767312
14	SST2	GLUE	1.40275671820293	1.22352459854188	0.0310965467896171
15	STS-B	GLUE	0.846443859927947	0.816727489574131	0.0187899589994528
16	Subj	Text Cl.	1.62562579568622	1.23180729147284	0.0550449957515363
17	Tagging	Parsing	0.719728460728012	0.640000055074999	0.114759905380573
18	WSC	GLUE	5.71533533330478	4.15999996725458	0.561186111519433
