Task	IndivCBOWAccuracy	MajorityClass	PairCBOWAccuracy	LSTMAccuracy	RoBERTaAccuracy
MNLI	0.49	0.35	0.6	0.6	0.9
MRPC	0.71	0.68	0.7	0.71	0.90
QQP	0.77	0.63	0.83	0.82	0.9
RTE	0.51	0.52	0.51	0.54	0.88
QNLI	0.59	0.50	0.6	0.59	0.95
SST2	0.81	0.5	NA	0.83	0.97
CoLA	0.68	0.68	NA	0.69	0.75
Subj	0.83	0.5	NA	0.92	0.95
CR	0.8	0.5	NA	0.84	0.93
MR	0.7	0.5	NA	0.78	0.9
TREC	0.44	0.23	NA	0.88	NA
MPQA	0.82	0.5	NA	0.83	0.9
WSC	0.5	0.5	NA	0.5	0.89
Gym248	0.5	0.5	NA	NA	NA
Gym260	0.5	0.5	NA	NA	NA
STS	NA	NA	NA	NA	NA
Tagging	0.85	0.17	NA	0.88	NA
Labels	0.66	0.12	NA	0.77	NA
Heads	0.39	0.29	NA	0.39	NA
